tankName,product,capacity,densityStatus,denFloatHeight,waterDip_cm,water_ltr,density_15C_kgm3,density_kgm3,dip_cm,grossVolume_ltr,netVolume_ltr,temperature_C,ullage_ltr,todaysSale_ltr,todaysDelivery_ltr,timestamp,product_encoded,threat_severity,threat_reason
Tank 1,EBMS,15000,OK,0.0,0.09,5.96,760.84,760.84,56.0,11999.84,11999.84,33.24,3000.16,33.62,33.46,2025-08-07T00:00:00Z,0,OK,Operating within safe parameters
Tank 1,EBMS,15000,OK,0.0,0.33,9.56,760.84,760.84,55.69,11933.62,11933.62,32.55,3066.38,85.37,19.15,2025-08-07T00:15:00Z,0,OK,Operating within safe parameters
Tank 1,EBMS,15000,OK,0.0,0.23,9.81,760.84,760.84,56.24,12051.47,12051.47,28.61,2948.53,39.85,157.7,2025-08-07T00:30:00Z,0,OK,Operating within safe parameters
Tank 1,EBMS,15000,OK,0.0,0.13,5.38,760.84,760.84,56.93,12199.33,12199.33,30.13,2800.67,28.13,175.99,2025-08-07T00:45:00Z,0,OK,Operating within safe parameters
Tank 1,EBMS,15000,OK,0.0,0.22,8.4,760.84,760.84,57.33,12284.49,12284.49,28.9,2715.51,14.48,99.64,2025-08-07T01:00:00Z,0,OK,Operating within safe parameters
Tank 1,EBMS,15000,OK,0.0,0.12,8.84,760.84,760.84,57.89,12404.14,12404.14,28.66,2595.86,32.06,151.71,2025-08-07T01:15:00Z,0,OK,Operating within safe parameters
Tank 1,EBMS,15000,OK,0.0,0.46,7.28,760.84,760.84,57.77,12380.0,12380.0,33.29,2620.0,115.43,91.29,2025-08-07T01:30:00Z,0,OK,Operating within safe parameters
Tank 1,EBMS,15000,OK,0.0,0.24,3.09,760.84,760.84,57.33,12284.31,12284.31,31.78,2715.69,131.94,36.25,2025-08-07T01:45:00Z,0,OK,Operating within safe parameters
Tank 1,EBMS,15000,OK,0.0,0.22,0.06,760.84,760.84,57.37,12293.93,12293.93,32.39,2706.07,74.14,83.76,2025-08-07T02:00:00Z,0,OK,Operating within safe parameters
Tank 1,EBMS,15000,OK,0.0,0.39,6.61,760.84,760.84,57.68,12360.39,12360.39,28.37,2639.61,1.36,67.82,2025-08-07T02:15:00Z,0,OK,Operating within safe parameters
Tank 1,EBMS,15000,OK,0.0,0.42,6.16,760.84,760.84,58.36,12505.32,12505.32,28.48,2494.68,7.99,152.92,2025-08-07T02:30:00Z,0,OK,Operating within safe parameters
Tank 1,EBMS,15000,OK,0.0,0.24,9.93,760.84,760.84,58.87,12614.66,12614.66,29.85,2385.34,19.18,128.52,2025-08-07T02:45:00Z,0,OK,Operating within safe parameters
Tank 1,EBMS,15000,OK,0.0,0.42,9.75,760.84,760.84,59.15,12675.05,12675.05,28.38,2324.95,97.89,158.28,2025-08-07T03:00:00Z,0,OK,Operating within safe parameters
